127.0.0.1, 2018-11-24 11:50:56, GET, /my_holdings_sim/api/get_post_list, HTTP/1.1, 200, 0.047970
127.0.0.1, 2018-11-24 11:50:59, POST, /my_holdings_sim/api/add_post, HTTP/1.1, 200, 0.026527
127.0.0.1, 2018-11-24 11:51:01, GET, /my_holdings_sim/api/get_likers, HTTP/1.1, 200, 0.027509
127.0.0.1, 2018-11-24 11:51:02, POST, /my_holdings_sim/api/set_like, HTTP/1.1, 200, 0.026341
127.0.0.1, 2018-11-24 11:51:03, POST, /my_holdings_sim/api/delete_post, HTTP/1.1, 200, 0.023984
127.0.0.1, 2018-11-24 11:51:12, POST, /my_holdings_sim/api/add_post, HTTP/1.1, 200, 0.026285
127.0.0.1, 2018-11-24 11:51:15, GET, /my_holdings_sim/api/get_likers, HTTP/1.1, 200, 0.022751
127.0.0.1, 2018-11-24 11:51:23, POST, /my_holdings_sim/api/set_stars, HTTP/1.1, 200, 0.028921
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/default/user/logout, HTTP/1.1, 303, 0.053060
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/default/index, HTTP/1.1, 200, 0.028215
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/css/stupid.css, HTTP/1.1, 304, 0.002382
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/css/calendar.css, HTTP/1.1, 304, 0.001241
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/css/custom.css, HTTP/1.1, 304, 0.003591
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/css/web2py.css, HTTP/1.1, 304, 0.003108
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/js/jquery.js, HTTP/1.1, 304, 0.002401
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002379
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/css/myapp.css, HTTP/1.1, 304, 0.004013
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/js/calendar.js, HTTP/1.1, 304, 0.001464
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/js/web2py.js, HTTP/1.1, 304, 0.001218
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/js/vue.js, HTTP/1.1, 304, 0.000714
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/js/default_index.js, HTTP/1.1, 304, 0.001195
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/js/marked.min.js, HTTP/1.1, 304, 0.001647
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/js/vue.min.js, HTTP/1.1, 304, 0.001465
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000395
127.0.0.1, 2018-11-24 11:51:30, GET, /my_holdings_sim/api/get_post_list, HTTP/1.1, 200, 0.038858
127.0.0.1, 2018-11-24 11:51:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2018-11-24 11:51:32, GET, /my_holdings_sim/default/user/register, HTTP/1.1, 200, 0.034192
